"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段3.zip","階段3/model.zip","0","nested_archive","18567869","18572065","2025-06-30T18:13:06.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/","1","directory","0","0","2025-05-09T23:17:04.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/CNN_A11000.keras","1","file","102379","51477","2025-05-07T17:38:16.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/CNN_A11000_1.keras","1","file","102379","48295","2025-05-07T17:25:06.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/CNN_A6000.keras","1","file","102379","51251","2025-05-07T17:37:06.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/CNN_A6000_1.keras","1","file","102379","50390","2025-05-07T17:23:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/CNN_A8000.keras","1","file","102379","49874","2025-05-07T17:36:26.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/CNN_A8000_1.keras","1","file","102379","50848","2025-05-07T17:23:02.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/ResNet_A11000.keras","1","file","3114330","2663362","2025-05-07T17:39:16.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/ResNet_A11000_1.keras","1","file","3114330","2659277","2025-05-07T17:28:32.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/ResNet_A6000.keras","1","file","3114330","2664174","2025-05-07T17:38:56.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/ResNet_A6000_1.keras","1","file","3114330","2656173","2025-05-07T17:23:50.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/ResNet_A8000.keras","1","file","3114330","2662866","2025-05-07T17:36:58.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/ResNet_A8000_1.keras","1","file","3114330","2658892","2025-05-07T17:23:34.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A11000.keras","1","file","480672","349693","2025-05-07T17:39:02.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A11000_1.keras","1","file","480672","345993","2025-05-07T17:25:10.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A6000.keras","1","file","480672","351110","2025-05-07T17:37:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A6000_1.keras","1","file","480672","351013","2025-05-07T17:23:50.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A6000_11.keras","1","file","243716","122430","2025-05-09T23:40:22.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A8000.keras","1","file","480672","350392","2025-05-07T17:37:12.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A8000_1.keras","1","file","480672","351168","2025-05-07T17:23:22.0000000+08:00"
"馬達研究\階段3.zip::階段3/model.zip","model/VGG16_A8000_11.keras","1","file","180192","75097","2025-05-09T23:36:58.0000000+08:00"
"馬達研究\階段3.zip","階段3/myfeature.zip","0","nested_archive","22994909","22990599","2025-06-30T18:13:04.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/","1","directory","0","0","2025-04-17T12:15:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/","1","directory","0","0","2025-04-17T12:29:40.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/11000rpm/","1","directory","0","0","2025-04-17T12:31:32.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/11000rpm/1screws/","1","directory","0","0","2025-05-09T10:33:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/11000rpm/1screws/T3_Group_feature_data.csv","1","file","1223351","510430","2025-04-23T12:47:34.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/11000rpm/1screws/T3_Group_feature_data_clean.csv","1","file","696097","290191","2025-05-09T10:33:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/11000rpm/2screws/","1","directory","0","0","2025-05-09T10:33:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/myfeature.zip","myfeature/T3/11000rpm/2screws/T3_Group_feature_data.csv","1","file","1222112","510538","2025-04-23T12:47:16.0000000+08:00"
