epoch,t,truth,score,verdict,predicted,ewma,cusum,quarantine,n_known,source_mode
4,341,8screws,0.7619,healthy,8screws,0.0465,0.0,0,1,manual
4,342,8screws,0.7884,healthy,8screws,0.0427,0.0,0,1,manual
4,343,8screws,0.9013,healthy,8screws,0.0393,0.0,0,1,manual
4,344,8screws,0.6288,healthy,8screws,0.0362,0.0,0,1,manual
4,345,8screws,0.7661,healthy,8screws,0.0333,0.0,0,1,manual
4,346,8screws,0.8152,healthy,8screws,0.0306,0.0,0,1,manual
4,347,8screws,0.8824,healthy,8screws,0.0282,0.0,0,1,manual
4,348,8screws,0.7471,healthy,8screws,0.0259,0.0,0,1,manual
4,349,8screws,0.847,healthy,8screws,0.0238,0.0,0,1,manual
4,350,8screws,0.9559,healthy,8screws,0.0219,0.0,0,1,manual
4,351,8screws,0.8441,healthy,8screws,0.0202,0.0,0,1,manual
4,352,8screws,0.8429,healthy,8screws,0.0186,0.0,0,1,manual
4,353,8screws,0.8202,healthy,8screws,0.0171,0.0,0,1,manual
4,354,8screws,0.781,healthy,8screws,0.0157,0.0,0,1,manual
4,355,8screws,1.0256,unknown,,0.0945,0.03,0,1,manual
4,356,8screws,0.8387,healthy,8screws,0.0869,0.0,0,1,manual
4,357,8screws,0.8478,healthy,8screws,0.0799,0.0,0,1,manual
4,358,8screws,0.9545,healthy,8screws,0.0736,0.0,0,1,manual
4,359,8screws,0.7888,healthy,8screws,0.0677,0.0,0,1,manual
4,360,8screws,0.7386,healthy,8screws,0.0623,0.0,0,1,manual
4,361,8screws,1.0265,unknown,,0.1373,0.03,0,1,manual
4,362,8screws,0.9752,healthy,8screws,0.1263,0.0,0,1,manual
4,363,8screws,0.8497,healthy,8screws,0.1162,0.0,0,1,manual
4,364,8screws,0.8762,healthy,8screws,0.1069,0.0,0,1,manual
4,365,8screws,0.9657,healthy,8screws,0.0983,0.0,0,1,manual
4,366,8screws,0.8758,healthy,8screws,0.0905,0.0,0,1,manual
4,367,8screws,0.8538,healthy,8screws,0.0832,0.0,0,1,manual
4,368,8screws,0.8409,healthy,8screws,0.0766,0.0,0,1,manual
4,369,8screws,1.0489,unknown,,0.1505,0.05,0,1,manual
4,370,8screws,1.0777,unknown,,0.2184,0.13,0,1,manual
4,371,8screws,0.8031,healthy,8screws,0.2009,0.0,0,1,manual
4,372,8screws,0.8607,healthy,8screws,0.1849,0.0,0,1,manual
4,373,8screws,0.9731,healthy,8screws,0.1701,0.0,0,1,manual
4,374,8screws,0.8583,healthy,8screws,0.1565,0.0,0,1,manual
4,375,8screws,0.9375,healthy,8screws,0.144,0.0,0,1,manual
